,Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
1157,352006,Cayambe,['Ecuador'],Compound,Eruption Observed,232.0,South America,0.029,-77.986,5790,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
591,283290,Osorezan,['Japan'],Stratovolcano,Eruption Observed,231.0,"Japan, Taiwan, Marianas",41.279,141.12,878,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
969,323110,Mono Lake Volcanic Field,['United States'],Pyroclastic cone,Eruption Dated,228.0,Canada and Western USA,38.0,-119.03,2121,Dacite,"['Rift zone', 'Continental crust']"
643,285010,Oshima-Oshima,['Japan'],Stratovolcano,Eruption Observed,228.0,"Japan, Taiwan, Marianas",41.51,139.367,732,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
202,234002,St. Paul,['France'],Stratovolcano,Eruption Observed,225.0,Middle East and Indian Ocean,-38.72,77.53,268,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1059,341110,San Martin,['Mexico'],Shield,Eruption Observed,222.0,México and Central America,18.57,-95.2,1650,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
874,311390,Amak,['United States'],Stratovolcano,Eruption Observed,222.0,Alaska,55.424,-163.149,488,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
394,263240,Merbabu,['Indonesia'],Stratovolcano,Eruption Observed,221.0,Indonesia,-7.454,110.44,3118,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1198,354031,Ticsani,['Peru'],Lava dome,Eruption Dated,218.0,South America,-16.755,-70.595,5408,Dacite,"['Subduction zone', 'Continental crust']"
932,320090,Iskut-Unuk River Cones,['Canada'],Pyroclastic cone,Eruption Dated,218.0,Canada and Western USA,56.58,-130.55,1880,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
135,222170,Kyejo,['Tanzania'],Stratovolcano,Eruption Observed,218.0,Africa and Red Sea,-9.229,33.792,2176,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
658,285082,Rausudake,['Japan'],Stratovolcano,Eruption Dated,218.0,"Japan, Taiwan, Marianas",44.076,145.122,1660,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1004,332040,Hualalai,['United States'],Shield,Eruption Observed,217.0,Hawaii and Pacific Ocean,19.692,-155.87,2523,Basalt / Picro-Basalt,"['Intraplate', 'Oceanic crust']"
1163,352030,Antisana,['Ecuador'],Stratovolcano,Eruption Observed,216.0,South America,-0.481,-78.141,5753,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1199,354040,Tutupaca,['Peru'],Stratovolcano,Eruption Observed,216.0,South America,-17.026,-70.372,5801,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
177,231080,"Yar, Jabal",['Saudi Arabia'],Volcanic field,Eruption Observed,208.0,Middle East and Indian Ocean,17.05,42.83,305,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
1216,355090,Putana,['Chile'],Stratovolcano,Eruption Observed,208.0,South America,-22.557,-67.853,5884,Dacite,"['Subduction zone', 'Continental crust']"
851,311160,Atka,['United States'],Stratovolcano,Eruption Observed,206.0,Alaska,52.331,-174.139,1448,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
1176,353030,Darwin,['Ecuador'],Shield,Eruption Dated,205.0,South America,-0.18,-91.28,1330,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
891,312130,Ugashik-Peulik,['United States'],Stratovolcano,Eruption Observed,204.0,Alaska,57.751,-156.368,1474,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1064,342040,Almolonga,['Guatemala'],Stratovolcano,Eruption Observed,200.0,México and Central America,14.797,-91.519,3173,Dacite,"['Subduction zone', 'Continental crust']"
649,285034,Kuttara,['Japan'],Stratovolcano,Eruption Dated,198.0,"Japan, Taiwan, Marianas",42.491,141.16,549,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
489,272050,Cabalían,['Philippines'],Stratovolcano,Eruption Dated,198.0,Philippines and SE Asia,10.285,125.218,912,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
85,221190,Fentale,['Ethiopia'],Stratovolcano,Eruption Observed,198.0,Africa and Red Sea,8.975,39.93,2007,Rhyolite,"['Rift zone', 'Continental crust']"
1325,358090,Fueguino,['Chile'],Lava dome,Eruption Observed,198.0,South America,-54.97,-70.262,157,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
87,221200,Kone,['Ethiopia'],Caldera,Eruption Observed,198.0,Africa and Red Sea,8.8,39.692,1619,Rhyolite,"['Rift zone', 'Continental crust']"
1274,357072,Tromen,['Argentina'],Stratovolcano,Eruption Observed,196.0,South America,-37.144,-70.033,4114,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1394,383060,Lanzarote,['Spain'],Fissure vent,Eruption Observed,194.0,Atlantic Ocean,29.03,-13.63,670,Basalt / Picro-Basalt,"['Intraplate', 'Intermediate crust']"
685,290190,Prevo Peak,['Russia'],Stratovolcano,Eruption Observed,193.0,Kuril Islands,47.02,152.12,1360,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
858,311230,Carlisle,['United States'],Stratovolcano,Eruption Observed,190.0,Alaska,52.894,-170.054,1620,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
840,311050,Little Sitkin,['United States'],Stratovolcano,Eruption Observed,188.0,Alaska,51.95,178.543,1174,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
870,311350,Fisher,['United States'],Stratovolcano,Eruption Observed,188.0,Alaska,54.65,-164.43,1112,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1306,358040,Michinmahuida,['Chile'],Stratovolcano,Eruption Observed,183.0,South America,-42.799,-72.445,2452,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
531,282021,Yokoate-jima,['Japan'],Stratovolcano,Eruption Observed,183.0,"Japan, Taiwan, Marianas",28.797,128.997,495,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
560,283080,Midagahara,['Japan'],Stratovolcano,Eruption Observed,179.0,"Japan, Taiwan, Marianas",36.571,137.59,2621,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
346,261020,Seulawah Agam,['Indonesia'],Stratovolcano,Eruption Observed,179.0,Indonesia,5.448,95.658,1810,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
33,213040,Ararat,['Turkey'],Stratovolcano,Eruption Observed,178.0,Mediterranean and Western Asia,39.7,44.3,5165,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
1058,341100,"Orizaba, Pico de",['Mexico'],Stratovolcano,Eruption Observed,172.0,México and Central America,19.03,-97.27,5564,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
383,263130,Guntur,['Indonesia'],Complex,Eruption Observed,171.0,Indonesia,-7.143,107.84,2249,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
245,243061,Kao,['Tonga'],Stratovolcano,Eruption Observed,171.0,New Zealand to Fiji,-19.668,-175.016,1009,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
324,255070,Savo,['Solomon Islands'],Stratovolcano,Eruption Observed,171.0,Melanesia and Australia,-9.13,159.82,485,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
661,290010,Tomariyama [Golovnin],"['Japan ', ' administered by Russia']",Caldera,Eruption Observed,170.0,Kuril Islands,43.844,145.504,535,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
1296,357160,Puntiagudo-Cordon Cenizos,['Chile'],Stratovolcano,Eruption Observed,168.0,South America,-40.969,-72.264,2493,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
168,231001,Harrat Ash Shamah,"['Syria', 'Jordan', 'Saudi Arabia']",Volcanic field,Eruption Observed,168.0,Middle East and Indian Ocean,32.333,37.583,1100,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
526,281030,Unnamed,['Taiwan'],Submarine,Eruption Observed,165.0,"Japan, Taiwan, Marianas",24.132,121.926,-1640,,"['Subduction zone', 'Continental crust']"
1065,342060,Atitlan,['Guatemala'],Stratovolcano,Eruption Observed,165.0,México and Central America,14.583,-91.186,3535,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
700,290340,Fuss Peak,['Russia'],Stratovolcano,Eruption Observed,164.0,Kuril Islands,50.267,155.246,1742,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
215,241030,Taranaki [Egmont],['New Zealand'],Stratovolcano,Eruption Observed,164.0,New Zealand to Fiji,-39.3,174.07,2518,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
248,243090,Late,['Tonga'],Stratovolcano,Eruption Observed,164.0,New Zealand to Fiji,-18.806,-174.65,540,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
513,274050,Unnamed,['Philippines'],Submarine,Eruption Observed,164.0,Philippines and SE Asia,20.33,121.75,-24,,"['Subduction zone', 'Crustal thickness unknow']"
130,222130,Chyulu Hills,['Kenya'],Volcanic field,Eruption Dated,163.0,Africa and Red Sea,-2.68,37.88,2188,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
32,213030,Tenduruk Dagi,['Turkey'],Shield,Eruption Observed,163.0,Mediterranean and Western Asia,39.356,43.874,3514,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
510,274010,Camiguin de Babuyanes,['Philippines'],Stratovolcano,Eruption Observed,161.0,Philippines and SE Asia,18.83,121.86,712,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
1107,344010,Cosiguina,['Nicaragua'],Stratovolcano,Eruption Observed,159.0,México and Central America,12.98,-87.57,872,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
673,290090,Chirippusan [Chirip],"['Japan ', ' administered by Russia']",Stratovolcano,Eruption Observed,158.0,Kuril Islands,45.338,147.92,1587,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
509,273090,Cagua,['Philippines'],Stratovolcano,Eruption Observed,158.0,Philippines and SE Asia,18.222,122.123,1133,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
55,221100,Dubbi,['Eritrea'],Stratovolcano,Eruption Observed,157.0,Africa and Red Sea,13.579,41.809,1625,Basalt / Picro-Basalt,"['Rift zone', 'Intermediate crust']"
127,222100,Longonot,['Kenya'],Stratovolcano,Eruption Dated,155.0,Africa and Red Sea,-0.914,36.446,2776,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
588,283270,Iwakisan,['Japan'],Stratovolcano,Eruption Observed,155.0,"Japan, Taiwan, Marianas",40.656,140.303,1625,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1374,381040,Pico Fracture Zone,['Undersea Features'],Submarine,Eruption Observed,153.0,Atlantic Ocean,38.75,-38.08,-4200,,"['Intraplate', 'Oceanic crust']"
951,322010,Hood,['United States'],Stratovolcano,Eruption Observed,152.0,Canada and Western USA,45.374,-121.695,3426,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
261,244010,Ofu-Olosega,['United States'],Shield,Eruption Observed,152.0,New Zealand to Fiji,-14.175,-169.618,639,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
16,211070,Campi Flegrei Mar Sicilia,['Italy'],Submarine,Eruption Observed,151.0,Mediterranean and Western Asia,37.1,12.7,-8,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
1213,355050,Olca-Paruma,"['Chile', 'Bolivia']",Stratovolcano,Eruption Observed,151.0,South America,-20.939,-68.413,5705,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1368,373100,Tjornes Fracture Zone,['Iceland'],Submarine,Eruption Observed,150.0,Iceland and Arctic Ocean,66.309,-17.118,-75,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1297,358010,Osorno,['Chile'],Stratovolcano,Eruption Observed,149.0,South America,-41.105,-72.496,2659,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1275,357080,Antuco,['Chile'],Stratovolcano,Eruption Observed,149.0,South America,-37.406,-71.349,2979,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1288,357121,Quetrupillan,['Chile'],Stratovolcano,Eruption Observed,146.0,South America,-39.5,-71.7,2360,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
480,271060,Ragang,['Philippines'],Stratovolcano,Eruption Observed,145.0,Philippines and SE Asia,7.7,124.5,2815,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
644,285011,Esan,['Japan'],Lava dome,Eruption Observed,144.0,"Japan, Taiwan, Marianas",41.805,141.166,618,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1039,341030,Ceboruco,['Mexico'],Stratovolcano,Eruption Observed,143.0,México and Central America,21.125,-104.508,2280,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
908,313020,Iliamna,['United States'],Stratovolcano,Eruption Observed,142.0,Alaska,60.032,-153.09,3053,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1235,355110,Llullaillaco,"['Chile', 'Argentina']",Stratovolcano,Eruption Observed,141.0,South America,-24.72,-68.53,6739,Dacite,"['Subduction zone', 'Continental crust']"
695,290290,Sinarka,['Russia'],Stratovolcano,Eruption Observed,140.0,Kuril Islands,48.873,154.182,911,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
863,311270,Vsevidof,['United States'],Stratovolcano,Eruption Observed,140.0,Alaska,53.13,-168.693,2149,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
1383,382080,Sete Cidades,['Portugal'],Stratovolcano,Eruption Observed,138.0,Atlantic Ocean,37.87,-25.78,856,Trachyte / Trachydacite,"['Rift zone', 'Oceanic crust']"
944,321010,Baker,['United States'],Stratovolcano,Eruption Observed,138.0,Canada and Western USA,48.777,-121.813,3285,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
452,266130,Tangkoko-Duasudara,['Indonesia'],Stratovolcano,Eruption Observed,138.0,Indonesia,1.518,125.185,1334,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1093,343060,Ilopango,['El Salvador'],Caldera,Eruption Observed,138.0,México and Central America,13.672,-89.053,450,Dacite,"['Subduction zone', 'Continental crust']"
662,290020,Raususan [Mendeleev],"['Japan ', ' administered by Russia']",Stratovolcano,Eruption Observed,138.0,Kuril Islands,43.979,145.733,882,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
349,261070,Singkut,['Indonesia'],Caldera,Eruption Observed,137.0,Indonesia,3.248,98.501,2181,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
337,257090,Traitor's Head,['Vanuatu'],Stratovolcano,Eruption Observed,137.0,Melanesia and Australia,-18.754,169.238,817,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
478,271040,Makaturing,['Philippines'],Stratovolcano,Eruption Observed,136.0,Philippines and SE Asia,7.647,124.32,1940,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
631,284190,Guguan,['United States'],Stratovolcano,Eruption Observed,135.0,"Japan, Taiwan, Marianas",17.307,145.845,287,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
688,290210,Ushishur,['Russia'],Caldera,Eruption Observed,134.0,Kuril Islands,47.52,152.8,401,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
397,263260,Lawu,['Indonesia'],Stratovolcano,Eruption Observed,133.0,Indonesia,-7.625,111.192,3265,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
294,252110,Bamus,['Papua New Guinea'],Stratovolcano,Eruption Observed,132.0,Melanesia and Australia,-5.2,151.23,2248,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
482,271070,Musuan,['Philippines'],Lava dome,Eruption Observed,132.0,Philippines and SE Asia,7.877,125.068,646,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
22,212050,Nisyros,['Greece'],Stratovolcano,Eruption Observed,130.0,Mediterranean and Western Asia,36.586,27.16,698,Dacite,"['Subduction zone', 'Continental crust']"
111,222020,South Island,['Kenya'],Stratovolcano,Eruption Observed,130.0,Africa and Red Sea,2.63,36.6,800,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
575,283160,Bandaisan,['Japan'],Stratovolcano,Eruption Observed,130.0,"Japan, Taiwan, Marianas",37.601,140.072,1816,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1019,334130,Southern EPR-Segment J,['Undersea Features'],Submarine,Eruption Dated,128.0,Hawaii and Pacific Ocean,-18.175,-113.35,-2650,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
761,300261,Ushkovsky,['Russia'],Compound,Eruption Observed,128.0,Kamchatka and Mainland Asia,56.113,160.509,3943,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
14,211050,Vulcano,['Italy'],Stratovolcano,Eruption Observed,128.0,Mediterranean and Western Asia,38.404,14.962,500,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
17,211071,Pantelleria,['Italy'],Shield,Eruption Observed,127.0,Mediterranean and Western Asia,36.77,12.02,836,Rhyolite,"['Rift zone', 'Continental crust']"
438,265040,Wurlali,['Indonesia'],Stratovolcano,Eruption Observed,126.0,Indonesia,-7.125,128.675,868,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
1407,390015,Melbourne,['Antarctica'],Stratovolcano,Eruption Dated,126.0,Antarctica,-74.35,164.7,2732,Trachyte / Trachydacite,"['Intraplate', 'Continental crust']"
1165,352040,Sumaco,['Ecuador'],Stratovolcano,Evidence Uncertain,123.0,South America,-0.538,-77.626,3990,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
286,252040,Dakataua,['Papua New Guinea'],Caldera,Eruption Dated,123.0,Melanesia and Australia,-5.094,150.094,408,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
406,263320,Lamongan,['Indonesia'],Stratovolcano,Eruption Observed,120.0,Indonesia,-7.979,113.342,1651,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
654,285061,Maruyama,['Japan'],Stratovolcano,Eruption Observed,120.0,"Japan, Taiwan, Marianas",43.418,143.031,2013,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1403,390010,Buckle Island,['Antarctica'],Stratovolcano,Eruption Observed,119.0,Antarctica,-66.78,163.25,1239,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Oceanic crust']"
94,221250,Tullu Moje,['Ethiopia'],Pyroclastic cone,Eruption Observed,118.0,Africa and Red Sea,8.159,39.137,2343,Rhyolite,"['Rift zone', 'Continental crust']"
712,300030,Iliinsky,['Russia'],Stratovolcano,Eruption Observed,117.0,Kamchatka and Mainland Asia,51.498,157.203,1555,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
342,258020,Hunter Island,['France'],Stratovolcano,Eruption Observed,115.0,Melanesia and Australia,-22.4,172.05,297,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
832,305060,Changbaishan,"['China', 'North Korea']",Stratovolcano,Eruption Observed,115.0,Kamchatka and Mainland Asia,41.98,128.08,2744,Trachyte / Trachydacite,"['Intraplate', 'Continental crust']"
439,265050,Teon,['Indonesia'],Stratovolcano,Eruption Observed,114.0,Indonesia,-6.976,129.144,728,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
1421,390031,Penguin Island,['Antarctica'],Stratovolcano,Eruption Observed,113.0,Antarctica,-62.1,-57.93,180,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
1147,351070,Dona Juana,['Colombia'],Stratovolcano,Eruption Observed,112.0,South America,1.5,-76.936,4137,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
627,284150,Asuncion,['United States'],Stratovolcano,Eruption Observed,112.0,"Japan, Taiwan, Marianas",19.671,145.406,857,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
1183,353090,Santiago,['Ecuador'],Shield,Eruption Observed,112.0,South America,-0.22,-90.77,920,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
716,300050,Ksudach,['Russia'],Stratovolcano,Eruption Observed,111.0,Kamchatka and Mainland Asia,51.844,157.572,1079,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1379,382030,San Jorge,['Portugal'],Fissure vent,Eruption Observed,111.0,Atlantic Ocean,38.65,-28.08,1053,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1321,358063,Reclus,['Chile'],Pyroclastic cone,Eruption Observed,110.0,South America,-50.964,-73.585,1000,Dacite,"['Subduction zone', 'Continental crust']"
1391,383030,Tenerife,['Spain'],Stratovolcano,Eruption Observed,109.0,Atlantic Ocean,28.271,-16.641,3715,Phonolite,"['Intraplate', 'Oceanic crust']"
131,222160,Meru,['Tanzania'],Stratovolcano,Eruption Observed,108.0,Africa and Red Sea,-3.25,36.75,4565,Phonolite,"['Rift zone', 'Continental crust']"
318,255050,Simbo,['Solomon Islands'],Stratovolcano,Eruption Dated,108.0,Melanesia and Australia,-8.292,156.52,335,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
116,222051,Emuruangogolak,['Kenya'],Shield,Eruption Dated,108.0,Africa and Red Sea,1.5,36.33,1285,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
1323,358070,"Burney, Monte",['Chile'],Stratovolcano,Eruption Observed,108.0,South America,-52.33,-73.4,1758,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1429,390100,Candlemas Island,['United Kingdom'],Stratovolcano,Eruption Observed,107.0,Antarctica,-57.08,-26.67,550,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
264,244040,Savai'i,['Samoa'],Shield,Eruption Observed,107.0,New Zealand to Fiji,-13.612,-172.525,1858,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
1387,382110,Monaco Bank,['Portugal'],Submarine,Eruption Observed,107.0,Atlantic Ocean,37.6,-25.88,-197,,"['Rift zone', 'Oceanic crust']"
296,252130,Lolobau,['Papua New Guinea'],Caldera,Eruption Observed,106.0,Melanesia and Australia,-4.92,151.158,858,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1256,357021,Maipo,"['Chile', 'Argentina']",Caldera,Eruption Observed,106.0,South America,-34.164,-69.832,5323,Trachyandesite / Basaltic Trachyandesite,"['Subduction zone', 'Continental crust']"
897,312170,Katmai,['United States'],Stratovolcano,Eruption Observed,106.0,Alaska,58.28,-154.963,2047,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
898,312180,Novarupta,['United States'],Caldera,Eruption Observed,106.0,Alaska,58.27,-155.157,841,Rhyolite,"['Subduction zone', 'Continental crust']"
917,315020,Wrangell,['United States'],Shield,Eruption Observed,106.0,Alaska,62.006,-144.017,4278,Andesite / Basaltic Andesite,"['Intraplate', 'Continental crust']"
1207,355030,Isluga,['Chile'],Stratovolcano,Eruption Observed,105.0,South America,-19.15,-68.83,5550,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
534,282040,Nakanoshima,['Japan'],Stratovolcano,Eruption Observed,104.0,"Japan, Taiwan, Marianas",29.859,129.857,979,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
683,290161,Milna,['Russia'],Stratovolcano,Eruption Observed,104.0,Kuril Islands,46.815,151.786,1504,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
843,311080,Tanaga,['United States'],Stratovolcano,Eruption Observed,104.0,Alaska,51.885,-178.146,1806,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
1020,334140,Southern EPR-Segment I,['Undersea Features'],Submarine,Eruption Dated,103.0,Hawaii and Pacific Ocean,-18.53,-113.42,-2600,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
65,221112,Alayta,['Ethiopia'],Shield,Eruption Observed,103.0,Africa and Red Sea,12.888,40.573,1496,Basalt / Picro-Basalt,"['Rift zone', 'Intermediate crust']"
603,284080,Sumisujima,['Japan'],Submarine,Eruption Observed,102.0,"Japan, Taiwan, Marianas",31.44,140.051,136,Dacite,"['Subduction zone', 'Oceanic crust']"
1090,343050,San Salvador,['El Salvador'],Stratovolcano,Eruption Observed,101.0,México and Central America,13.734,-89.294,1893,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
967,323080,Lassen Volcanic Center,['United States'],Stratovolcano,Eruption Observed,101.0,Canada and Western USA,40.492,-121.508,3187,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
628,284160,Agrigan,['United States'],Stratovolcano,Eruption Observed,101.0,"Japan, Taiwan, Marianas",18.77,145.67,965,Basalt / Picro-Basalt,"['Subduction zone', 'Crustal thickness unknow']"
1260,357030,Tinguiririca,['Chile'],Stratovolcano,Eruption Observed,101.0,South America,-34.814,-70.352,4280,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1356,372030,Katla,['Iceland'],Subglacial,Eruption Observed,100.0,Iceland and Arctic Ocean,63.633,-19.083,1490,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
584,283240,Iwatesan,['Japan'],Complex,Eruption Observed,99.0,"Japan, Taiwan, Marianas",39.853,141.001,2038,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
455,267030,Banua Wuhu,['Indonesia'],Submarine,Eruption Observed,99.0,Indonesia,3.138,125.491,-5,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
1305,358030,Huequi,['Chile'],Lava dome,Eruption Observed,98.0,South America,-42.377,-72.578,1318,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
113,222030,"Barrier, The",['Kenya'],Shield,Eruption Observed,97.0,Africa and Red Sea,2.32,36.57,1032,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
441,265070,Serua,['Indonesia'],Stratovolcano,Eruption Observed,97.0,Indonesia,-6.312,130.017,608,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
362,261180,Sumbing,['Indonesia'],Stratovolcano,Eruption Observed,97.0,Indonesia,-2.414,101.728,2507,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
520,275060,"Cendres, Ile des",['Vietnam'],Submarine,Eruption Observed,95.0,Philippines and SE Asia,10.158,109.014,-20,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
713,300040,Zheltovsky,['Russia'],Stratovolcano,Eruption Observed,95.0,Kamchatka and Mainland Asia,51.577,157.328,1926,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
749,300200,Kronotsky,['Russia'],Stratovolcano,Eruption Observed,95.0,Kamchatka and Mainland Asia,54.753,160.533,3482,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
150,224004,Santa Isabel,['Equatorial Guinea'],Shield,Eruption Observed,95.0,Africa and Red Sea,3.588,8.762,2999,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
692,290250,Raikoke,['Russia'],Stratovolcano,Eruption Observed,94.0,Kuril Islands,48.292,153.25,551,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
